file,line,code
src/DirectoryReports.php,23,$rsClassifications = RunQuery($sSQL);
src/DirectoryReports.php,27,$rsFamilyRoles = RunQuery($sSQL);
src/DirectoryReports.php,31,$rsGroups = RunQuery($sSQL);
src/DirectoryReports.php,35,$rsCustomFields = RunQuery($sSQL);
src/DirectoryReports.php,45,$rsSecurityGrp = RunQuery($sSQL);
src/PledgeEditor.php,48,$rsFunds = RunQuery($sSQL);
src/PledgeEditor.php,85,$rsKeys = RunQuery($sSQL);
src/PledgeEditor.php,147,$rsResults = RunQuery($sSQL);
src/PledgeEditor.php,151,$rsMethod = RunQuery($sSQL);
src/PledgeEditor.php,172,$rsResults = RunQuery($sSQL);
src/PledgeEditor.php,176,$rsFam = RunQuery($sSQL);
src/PledgeEditor.php,183,$rsAmounts = RunQuery($sSQL);
src/PledgeEditor.php,398,RunQuery($sSQL);
src/PledgeEditor.php,482,$rsChecksThisDep = RunQuery($sSQL);
src/CSVImport.php,160,$rsCustomFields = RunQuery($sSQL);
src/CSVImport.php,171,$rsfamCustomFields = RunQuery($sSQL);
src/CSVImport.php,182,$rsSecurityGrp = RunQuery($sSQL);
src/CSVImport.php,253,$rsClassifications = RunQuery($sSQL); ?>
src/CSVImport.php,323,$rsCustomFields = RunQuery($sSQL);
src/CSVImport.php,330,$rsfamCustomFields = RunQuery($sSQL);
src/CSVImport.php,457,$rsTemp = RunQuery($sSQL);
src/CSVImport.php,568,RunQuery($sSQLperson);
src/CSVImport.php,573,$rsPersonID = RunQuery($sSQL);
src/CSVImport.php,577,$rsNewPerson = RunQuery($sSQL);
src/CSVImport.php,600,$rsExistingFamily = RunQuery($sSQL);
src/CSVImport.php,668,$rsFamCustomID = RunQuery($sSQL);
src/CSVImport.php,711,RunQuery($sSQLFamCustom);
src/CSVImport.php,717,$rsPersonID = RunQuery($sSQL);
src/CSVImport.php,766,RunQuery($sSQLcustom);
src/QueryView.php,26,$rsSQL = RunQuery($sSQL);
src/QueryView.php,31,$rsParameters = RunQuery($sSQL);
src/QueryView.php,203,$rsQueryResults = RunQuery($qry_SQL); ?>
src/QueryView.php,348,$rsParameterOptions = RunQuery($sSQL);
src/QueryView.php,365,$rsParameterOptions = RunQuery($qrp_OptionSQL);
src/QueryView.php,380,$rsParameterOptions = RunQuery($qrp_OptionSQL);
src/PaddleNumDelete.php,15,RunQuery($sSQL);
src/PropertyAssign.php,60,$rsName = RunQuery($sSQL);
src/PropertyAssign.php,73,$rsName = RunQuery($sSQL);
src/PropertyAssign.php,93,$rsExistingTest = RunQuery($sSQL);
src/PropertyAssign.php,97,RunQuery($sSQL);
src/PropertyAssign.php,101,RunQuery($sSQL);
src/PropertyAssign.php,127,$rsProperty = RunQuery($sSQL);
src/PropertyAssign.php,146,$rsValue = RunQuery($sSQL);
