"name","device","type","relative_path","exists","size_bytes","purpose","width","height","product","locale","seed","commit","timestamp"
"admin-plugin-management","desktop","screenshot","screenshots/desktop/admin-plugin-management.png","yes","360548","Show the plugin management admin page — core and community plugins","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:12:47.275Z"
"communication-mailing-list","desktop","screenshot","screenshots/desktop/communication-mailing-list.png","yes","420394","Show selecting a group into the cart as a mailing list","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:33.330Z"
"dashboard-admin","desktop","screenshot","screenshots/desktop/dashboard-admin.png","yes","449007","Show the Admin dashboard — setup wizard, onboarding checklist","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:32.835Z"
"dashboard-events","desktop","screenshot","screenshots/desktop/dashboard-events.png","yes","363852","Show the Events module dashboard","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:24.059Z"
"dashboard-finance","desktop","screenshot","screenshots/desktop/dashboard-finance.png","yes","455115","Show the Finance dashboard — totals and quick actions","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:26.987Z"
"dashboard-fundraiser","desktop","screenshot","screenshots/desktop/dashboard-fundraiser.png","yes","310284","Show the Fundraiser module dashboard","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:29.818Z"
"dashboard-groups","desktop","screenshot","screenshots/desktop/dashboard-groups.png","yes","358923","Show the Groups module dashboard","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:18.125Z"
"dashboard-hero-dark","desktop","screenshot","screenshots/desktop/dashboard-hero-dark.png","yes","431955","Landing dashboard after login — hero shot in dark mode","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:39.512Z"
"dashboard-hero","desktop","screenshot","screenshots/desktop/dashboard-hero.png","yes","446949","Landing dashboard after login — hero shot","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:12.231Z"
"dashboard-people","desktop","screenshot","screenshots/desktop/dashboard-people.png","yes","420948","Show the People module dashboard","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:15.422Z"
"dashboard-sundayschool","desktop","screenshot","screenshots/desktop/dashboard-sundayschool.png","yes","332731","Show the Sunday School dashboard — classes, teachers, students, attendance","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:21.067Z"
"events-attendance-overview","desktop","screenshot","screenshots/desktop/events-attendance-overview.png","yes","363448","Show the event check-in / attendance workflow","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:40.748Z"
"events-calendar-overview","desktop","screenshot","screenshots/desktop/events-calendar-overview.png","yes","386538","Show the event calendar","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:36.114Z"
"finance-deposit-entry","desktop","screenshot","screenshots/desktop/finance-deposit-entry.png","yes","335801","Show deposit slip records — the transactional side of giving","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:43.664Z"
"finance-pledge-report","desktop","screenshot","screenshots/desktop/finance-pledge-report.png","yes","363141","Show fund/pledge totals and progress","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:46.644Z"
"groups-ministry-overview","desktop","screenshot","screenshots/desktop/groups-ministry-overview.png","yes","409244","Show ministry group organization and membership","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:53.452Z"
"people-directory-list","desktop","screenshot","screenshots/desktop/people-directory-list.png","yes","286768","Show the filtered person directory list","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:10:18.903Z"
"people-family-new-family","desktop","screenshot","screenshots/desktop/people-family-new-family.png","yes","302656","Show creating a new family and its resulting profile page","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:09:45.272Z"
"people-photo-gallery","desktop","screenshot","screenshots/desktop/people-photo-gallery.png","yes","1018158","Show the photo directory — a grid of congregation member photos","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:10:14.674Z"
"settings-user-permissions","desktop","screenshot","screenshots/desktop/settings-user-permissions.png","yes","349753","Show user/permission management — self-hosted control story","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:12:44.586Z"
"admin-plugin-management","mobile","screenshot","screenshots/mobile/admin-plugin-management.png","yes","180137","Show the plugin management admin page — core and community plugins","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:12:47.654Z"
"communication-mailing-list","mobile","screenshot","screenshots/mobile/communication-mailing-list.png","yes","203930","Show selecting a group into the cart as a mailing list","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:33.822Z"
"dashboard-admin","mobile","screenshot","screenshots/mobile/dashboard-admin.png","yes","234142","Show the Admin dashboard — setup wizard, onboarding checklist","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:33.259Z"
"dashboard-events","mobile","screenshot","screenshots/mobile/dashboard-events.png","yes","142192","Show the Events module dashboard","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:24.554Z"
"dashboard-finance","mobile","screenshot","screenshots/mobile/dashboard-finance.png","yes","214896","Show the Finance dashboard — totals and quick actions","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:27.398Z"
"dashboard-fundraiser","mobile","screenshot","screenshots/mobile/dashboard-fundraiser.png","yes","179432","Show the Fundraiser module dashboard","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:30.239Z"
"dashboard-groups","mobile","screenshot","screenshots/mobile/dashboard-groups.png","yes","172295","Show the Groups module dashboard","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:18.515Z"
"dashboard-hero-dark","mobile","screenshot","screenshots/mobile/dashboard-hero-dark.png","yes","182922","Landing dashboard after login — hero shot in dark mode","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:40.037Z"
"dashboard-hero","mobile","screenshot","screenshots/mobile/dashboard-hero.png","yes","186872","Landing dashboard after login — hero shot","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:12.876Z"
"dashboard-people","mobile","screenshot","screenshots/mobile/dashboard-people.png","yes","177788","Show the People module dashboard","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:15.808Z"
"dashboard-sundayschool","mobile","screenshot","screenshots/mobile/dashboard-sundayschool.png","yes","183791","Show the Sunday School dashboard — classes, teachers, students, attendance","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:21.570Z"
"events-attendance-overview","mobile","screenshot","screenshots/mobile/events-attendance-overview.png","yes","254735","Show the event check-in / attendance workflow","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:41.225Z"
"events-calendar-overview","mobile","screenshot","screenshots/mobile/events-calendar-overview.png","yes","218078","Show the event calendar","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:36.636Z"
"finance-deposit-entry","mobile","screenshot","screenshots/mobile/finance-deposit-entry.png","yes","124269","Show deposit slip records — the transactional side of giving","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:44.198Z"
"finance-pledge-report","mobile","screenshot","screenshots/mobile/finance-pledge-report.png","yes","183787","Show fund/pledge totals and progress","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:47.162Z"
"groups-ministry-overview","mobile","screenshot","screenshots/mobile/groups-ministry-overview.png","yes","171826","Show ministry group organization and membership","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:53.836Z"
"people-directory-list","mobile","screenshot","screenshots/mobile/people-directory-list.png","yes","141599","Show the filtered person directory list","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:10:19.381Z"
"people-family-new-family","mobile","screenshot","screenshots/mobile/people-family-new-family.png","yes","158159","Show creating a new family and its resulting profile page","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:09:45.695Z"
"people-photo-gallery","mobile","screenshot","screenshots/mobile/people-photo-gallery.png","yes","318146","Show the photo directory — a grid of congregation member photos","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:10:15.186Z"
"settings-user-permissions","mobile","screenshot","screenshots/mobile/settings-user-permissions.png","yes","194843","Show user/permission management — self-hosted control story","430","932","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:12:45.048Z"
"family-self-register","recordings","video","videos/recordings/family-self-register.webm","yes","2253812","Show a visitor self-registering their family without staff involvement","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:05:20.773Z"
"demo-data-import","setup","video","videos/setup/demo-data-import.webm","yes","1491525","Show importing the sample data set and the resulting seeded families","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:04:53.125Z"
"setup-church-info","setup","video","videos/setup/setup-church-info.webm","yes","4462223","Show first-run setup: prerequisites, database configuration, and church info","1440","900","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:04:39.066Z"
"admin-plugin-management","tablet","screenshot","screenshots/tablet/admin-plugin-management.png","yes","215697","Show the plugin management admin page — core and community plugins","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:12:47.479Z"
"communication-mailing-list","tablet","screenshot","screenshots/tablet/communication-mailing-list.png","yes","272096","Show selecting a group into the cart as a mailing list","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:33.581Z"
"dashboard-admin","tablet","screenshot","screenshots/tablet/dashboard-admin.png","yes","298336","Show the Admin dashboard — setup wizard, onboarding checklist","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:33.073Z"
"dashboard-events","tablet","screenshot","screenshots/tablet/dashboard-events.png","yes","233046","Show the Events module dashboard","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:24.387Z"
"dashboard-finance","tablet","screenshot","screenshots/tablet/dashboard-finance.png","yes","268264","Show the Finance dashboard — totals and quick actions","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:27.209Z"
"dashboard-fundraiser","tablet","screenshot","screenshots/tablet/dashboard-fundraiser.png","yes","208844","Show the Fundraiser module dashboard","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:30.034Z"
"dashboard-groups","tablet","screenshot","screenshots/tablet/dashboard-groups.png","yes","225542","Show the Groups module dashboard","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:08:18.325Z"
"dashboard-hero-dark","tablet","screenshot","screenshots/tablet/dashboard-hero-dark.png","yes","257689","Landing dashboard after login — hero shot in dark mode","1024","768","ChurchCRM","en","marketing-basic-v1","d7ea3e874469c41a4377979b22d01540182960e7","2026-09-24T19:07:39.785Z"
